len, probab
#
 1., 0.
 2., 0.04017
 3., 0.04583
 4., 0.03907
 5., 0.03015
 6., 0.02516
 7., 0.02338
 8., 0.02354
 9., 0.02537
10., 0.02708
11., 0.02796
12., 0.02821
13., 0.02766
14., 0.02778
15., 0.02788
16., 0.02574
17., 0.02585
18., 0.02316
19., 0.02179
20., 0.01983
21., 0.01885
22., 0.01686
23., 0.01679
24., 0.0155
25., 0.0152
26., 0.01445
27., 0.01462
28., 0.01467
29., 0.01478
30., 0.01476
31., 0.01436
32., 0.01403
33., 0.01367
34., 0.01304
35., 0.01288
36., 0.01279
37., 0.01245
38., 0.0114
39., 0.01131
40., 0.01044
41., 0.00966
42., 0.00872
43., 0.00853
44., 0.00699
45., 0.00702
46., 0.00631
47., 0.00559
48., 0.00469
49., 0.00423
50., 0.00326
51., 0.00355
52., 0.00302
53., 0.0024
54., 0.00216
55., 0.00171
56., 0.00165
57., 0.00126
58., 0.00126
59., 0.0008435
60., 0.000781
61., 0.0005115
62., 0.00048465
63., 0.00030515
64., 0.00038595
65., 0.0002872
66., 0.00009875
67., 0.00009875
68., 0.0001436
69., 0.00009875
70., 0.0000808
71., 0.00005385
72., 0.00001795
73., 0.00000897
74., 0.
75., 0.00000897
76., 0.00000897
77., 0.
78., 0.00000897
