T, de16, de32, de48, de64, de96, de128, de256, de512
        8,         0,         0,         0,         0,         0,         0,         0,         0
       11,   1.7e-07,   1.9e-07,  1.84e-07,  1.76e-07,  1.94e-07,  1.85e-07,   1.9e-07,  1.88e-07
       14,  2.43e-05,  1.42e-06,  1.67e-06,  5.15e-06,  2.64e-05,  9.14e-05,  3.73e-05,  3.04e-05
       17,  7.62e-05,  9.65e-05,  0.000552,   0.00107,   0.00153,  0.000343,  0.000365,   0.00019
       20,  0.000173,  0.000407,   0.00166,    0.0026,   0.00241,    0.0036,   0.00231,   0.00084
       23,  0.000348,   0.00114,   0.00301,   0.00395,   0.00627,   0.00819,   0.00906,   0.00596
       26,  0.000585,   0.00236,   0.00462,   0.00672,    0.0124,    0.0133,    0.0182,     0.015
       29,  0.000977,   0.00375,   0.00645,   0.00977,     0.014,    0.0185,    0.0239,    0.0233
       32,   0.00152,   0.00534,   0.00823,    0.0118,    0.0164,    0.0187,     0.025,    0.0287
       35,   0.00214,   0.00674,   0.00984,    0.0129,    0.0154,    0.0164,    0.0203,    0.0262
       38,   0.00279,   0.00757,     0.011,    0.0125,    0.0111,    0.0126,    0.0124,    0.0183
       41,   0.00339,   0.00811,    0.0107,    0.0104,    0.0095,   0.00858,   0.00727,    0.0108
       44,   0.00388,   0.00815,   0.00949,   0.00826,    0.0075,   0.00624,   0.00508,   0.00542
       47,   0.00426,   0.00774,   0.00799,   0.00702,   0.00563,   0.00481,   0.00366,   0.00335
       50,   0.00455,   0.00713,    0.0065,   0.00571,   0.00466,   0.00412,   0.00279,   0.00254
       53,   0.00466,   0.00642,   0.00552,    0.0046,   0.00385,    0.0032,   0.00236,   0.00191
       56,   0.00463,   0.00565,   0.00468,   0.00389,   0.00317,   0.00256,   0.00191,   0.00152
       59,   0.00454,   0.00493,   0.00395,   0.00332,   0.00266,   0.00213,    0.0016,   0.00115
       62,   0.00436,   0.00436,    0.0034,   0.00288,   0.00224,    0.0019,   0.00138,  0.000933
       65,   0.00414,   0.00382,   0.00293,    0.0025,   0.00194,   0.00172,   0.00114,  0.000811
       68,   0.00391,   0.00334,   0.00256,   0.00217,   0.00173,   0.00152,     0.001,  0.000738
       71,   0.00366,   0.00294,    0.0023,   0.00192,   0.00153,   0.00135,  0.000908,  0.000643
       74,   0.00339,    0.0026,     0.002,   0.00169,   0.00135,   0.00118,  0.000792,  0.000559
       77,   0.00315,   0.00232,   0.00175,    0.0015,   0.00123,   0.00104,  0.000728,  0.000525
       80,   0.00291,   0.00208,    0.0016,   0.00138,   0.00111,  0.000926,  0.000646,  0.000456
       83,   0.00268,   0.00188,   0.00145,   0.00124,  0.000999,  0.000831,  0.000581,  0.000409
       86,   0.00248,    0.0017,   0.00132,   0.00113,  0.000898,   0.00076,  0.000546,  0.000392
       89,   0.00229,   0.00153,   0.00122,   0.00104,  0.000806,  0.000694,  0.000498,  0.000354
       92,   0.00211,   0.00139,   0.00111,  0.000935,  0.000727,  0.000636,  0.000466,  0.000319
       95,   0.00195,   0.00128,   0.00101,  0.000849,  0.000676,   0.00059,  0.000426,  0.000283
       98,   0.00181,   0.00118,  0.000929,  0.000785,  0.000637,  0.000554,  0.000381,  0.000262
      101,   0.00168,   0.00109,  0.000852,  0.000723,  0.000593,  0.000523,  0.000353,  0.000245
      104,   0.00157,   0.00102,  0.000796,  0.000672,   0.00055,  0.000477,   0.00033,   0.00023
      107,   0.00147,   0.00095,  0.000745,  0.000634,  0.000506,  0.000432,  0.000308,  0.000224
      110,   0.00136,  0.000882,  0.000688,  0.000592,  0.000469,  0.000402,  0.000292,  0.000205
      113,   0.00127,   0.00082,  0.000647,   0.00055,  0.000443,  0.000374,  0.000272,   0.00019
      116,   0.00119,  0.000765,  0.000606,   0.00052,  0.000426,  0.000361,   0.00025,  0.000186
      119,   0.00112,  0.000715,  0.000565,  0.000491,  0.000399,  0.000347,  0.000234,  0.000174
      122,   0.00105,  0.000677,  0.000538,  0.000468,  0.000375,  0.000319,  0.000221,  0.000158
      125,  0.000997,  0.000637,  0.000508,  0.000442,  0.000351,  0.000301,   0.00021,   0.00015
      128,  0.000939,  0.000597,  0.000479,   0.00041,  0.000326,  0.000284,  0.000201,  0.000137
      131,  0.000882,  0.000567,  0.000451,  0.000388,  0.000309,  0.000265,  0.000189,  0.000127
      134,  0.000833,  0.000535,  0.000426,  0.000362,  0.000296,  0.000255,  0.000177,  0.000126
      137,   0.00078,  0.000505,  0.000404,   0.00034,  0.000282,   0.00024,  0.000167,   0.00012
      140,  0.000738,  0.000482,  0.000383,  0.000327,  0.000267,  0.000224,  0.000161,  0.000115
      143,  0.000706,  0.000452,  0.000365,  0.000312,  0.000255,  0.000214,  0.000157,   0.00011
      146,   0.00067,  0.000434,  0.000348,  0.000296,   0.00024,  0.000207,  0.000148,  0.000104
      149,   0.00064,  0.000423,  0.000331,   0.00028,  0.000227,  0.000203,   0.00014,  0.000101
      152,  0.000616,  0.000402,  0.000313,   0.00027,  0.000217,  0.000197,  0.000136,  9.49e-05
      155,  0.000578,  0.000383,  0.000302,  0.000259,  0.000208,  0.000183,  0.000125,  9.06e-05
      158,  0.000546,  0.000363,   0.00029,  0.000247,  0.000204,  0.000173,  0.000119,  8.64e-05
      161,  0.000531,  0.000339,  0.000278,  0.000244,  0.000195,  0.000167,  0.000116,  7.99e-05
      164,  0.000507,  0.000327,  0.000271,  0.000232,  0.000183,   0.00016,  0.000105,  7.65e-05
      167,  0.000485,  0.000322,  0.000258,  0.000217,  0.000177,  0.000153,  0.000105,  7.43e-05
      170,  0.000465,  0.000308,  0.000246,  0.000213,   0.00017,  0.000145,  0.000106,  7.16e-05
      173,  0.000444,  0.000293,  0.000235,  0.000203,  0.000161,  0.000137,  9.94e-05,  7.05e-05
      176,  0.000428,  0.000285,  0.000224,  0.000191,  0.000161,   0.00013,  9.81e-05,  6.81e-05
      179,  0.000422,  0.000273,  0.000221,  0.000185,  0.000155,  0.000126,  9.43e-05,  6.64e-05
      182,  0.000409,   0.00026,  0.000212,  0.000175,  0.000142,  0.000126,  8.64e-05,  6.34e-05
      185,  0.000385,  0.000252,  0.000201,  0.000173,  0.000138,  0.000122,  8.42e-05,  5.94e-05
      188,  0.000361,  0.000241,  0.000194,  0.000172,  0.000131,  0.000119,  8.07e-05,  5.81e-05
      191,  0.000341,  0.000234,  0.000184,  0.000165,  0.000127,  0.000115,   7.7e-05,  5.42e-05
