T, de4, de10, de16, de64
     14,  0.0138,  0.0013, 3.43e-08,       0
     17,  0.0144, 0.00197, 1.23e-07,       0
     20,  0.0143, 0.00336, 1.28e-06,       0
     23,  0.0125, 0.00542, 0.000176,       0
     26, 0.00916,  0.0072, 0.000655,       0
     29, 0.00613, 0.00843, 0.00101,       0
     32, 0.00423,  0.0096,  0.0012,       0
     35, 0.00311,  0.0101, 0.00197,       0
     38, 0.00241,    0.01, 0.00278,       0
     41, 0.00193, 0.00997, 0.00368,       0
     44, 0.00158, 0.00909, 0.00507,       0
     47, 0.00132, 0.00748, 0.00591,       0
     50, 0.00112, 0.00608, 0.00627,       0
     53, 0.000968, 0.00517, 0.00699,       0
     56, 0.000847,  0.0043, 0.00766, 1.81e-11
     59, 0.000742, 0.00355, 0.00753, 1.81e-11
     62, 0.000659, 0.00303, 0.00733, 6.33e-11
     65, 0.00059, 0.00262, 0.00704, 1.45e-10
     68, 0.000528, 0.00229, 0.00615, 1.99e-10
     71, 0.000477,   0.002, 0.00553, 4.61e-10
     74, 0.000437, 0.00178, 0.00508, 9.58e-10
     77, 0.000398, 0.00158, 0.00432, 1.61e-09
     80, 0.000364, 0.00141, 0.00374, 2.6e-09
     83, 0.000336, 0.00127,  0.0034, 4.15e-09
     86, 0.00031, 0.00116, 0.00304, 6.69e-09
     89, 0.000286, 0.00104, 0.00263, 1.01e-08
     92, 0.000266, 0.000956, 0.00233, 1.53e-08
     95, 0.000247, 0.000882, 0.00214, 2.31e-08
     98, 0.000231, 0.000804, 0.00192, 3.28e-08
    101, 0.000217, 0.000742, 0.00176, 4.67e-08
    104, 0.000203, 0.000689, 0.00162, 6.43e-08
    107, 0.000191, 0.000636, 0.00146, 8.55e-08
    110, 0.00018, 0.000596, 0.00133, 1.15e-07
    113, 0.000169, 0.000562, 0.00124, 1.53e-07
    116, 0.000161, 0.00053, 0.00116, 3.89e-06
    119, 0.000153, 0.000496, 0.00107, 5.11e-05
    122, 0.000145, 0.000465, 0.000994, 4.82e-05
    125, 0.000136, 0.00044, 0.000936, 7.76e-05
    128, 0.00013, 0.000415, 0.000864, 0.000135
    131, 0.000122, 0.000391, 0.00081, 0.000131
    134, 0.000117, 0.000369, 0.000772, 0.000124
    137, 0.000113, 0.00035, 0.000729, 7.92e-05
    140, 0.000107, 0.000329, 0.000684, 8.63e-05
    143, 0.000102, 0.00031, 0.00064, 8.26e-05
    146, 9.79e-05, 0.000299, 0.000609, 0.000191
    149, 9.39e-05, 0.000285, 0.00058, 0.000357
    152, 9.1e-05, 0.000271, 0.000553, 0.00035
    155, 8.83e-05, 0.000262, 0.000523, 0.000362
    158, 8.2e-05, 0.000251, 0.000492, 0.000498
    161, 7.71e-05, 0.000238, 0.000473, 0.000716
    164, 7.8e-05, 0.00023, 0.000448, 0.000888
    167, 7.47e-05, 0.000223, 0.000427, 0.000897
    170, 7.06e-05, 0.000212, 0.000408, 0.000948
    173, 6.89e-05, 0.000201, 0.000389, 0.00106
    176, 6.6e-05, 0.000194, 0.000375, 0.00131
    179, 6.33e-05, 0.000188, 0.000358, 0.00156
    182, 6.2e-05, 0.000182, 0.000344, 0.00151
    185, 6.1e-05, 0.000175, 0.000331, 0.00156
    188,     nan,     nan,     nan, 0.00158
    191,     nan,     nan,     nan, 0.00177
    194,     nan,     nan,     nan, 0.00175
    197,     nan,     nan,     nan,  0.0016
    200,     nan,     nan,     nan, 0.00165
    203,     nan,     nan,     nan, 0.00167
    206,     nan,     nan,     nan, 0.00185
    209,     nan,     nan,     nan, 0.00198
    212,     nan,     nan,     nan, 0.00205
    215,     nan,     nan,     nan, 0.00203
    218,     nan,     nan,     nan,  0.0022
    221,     nan,     nan,     nan, 0.00234
    224,     nan,     nan,     nan, 0.00234
    227,     nan,     nan,     nan, 0.00234
    230,     nan,     nan,     nan, 0.00225
    233,     nan,     nan,     nan, 0.00217
    236,     nan,     nan,     nan,  0.0022
    239,     nan,     nan,     nan, 0.00225
    242,     nan,     nan,     nan, 0.00211
    245,     nan,     nan,     nan, 0.00197
    248,     nan,     nan,     nan, 0.00187
    251,     nan,     nan,     nan, 0.00182
    254,     nan,     nan,     nan, 0.00186
    257,     nan,     nan,     nan, 0.00185
    260,     nan,     nan,     nan, 0.00173
    263,     nan,     nan,     nan, 0.00161
    266,     nan,     nan,     nan, 0.00165
    269,     nan,     nan,     nan, 0.00173
    272,     nan,     nan,     nan, 0.00168
    275,     nan,     nan,     nan, 0.00161
    278,     nan,     nan,     nan, 0.00151
    281,     nan,     nan,     nan, 0.00145
    284,     nan,     nan,     nan,  0.0014
    287,     nan,     nan,     nan, 0.00139
    290,     nan,     nan,     nan, 0.00138
    293,     nan,     nan,     nan, 0.00128
    296,     nan,     nan,     nan, 0.00118
    299,     nan,     nan,     nan, 0.00118
    302,     nan,     nan,     nan, 0.00119
    305,     nan,     nan,     nan, 0.00111
    308,     nan,     nan,     nan, 0.00109
    311,     nan,     nan,     nan, 0.00104
    314,     nan,     nan,     nan, 0.00094
    317,     nan,     nan,     nan, 0.000926
    320,     nan,     nan,     nan, 0.000942
    323,     nan,     nan,     nan, 0.000909
    326,     nan,     nan,     nan, 0.000867
    329,     nan,     nan,     nan, 0.000864
    332,     nan,     nan,     nan, 0.000836
    335,     nan,     nan,     nan, 0.000811
    338,     nan,     nan,     nan, 0.00081
    341,     nan,     nan,     nan, 0.000798
    344,     nan,     nan,     nan, 0.000755
    347,     nan,     nan,     nan, 0.000719
    350,     nan,     nan,     nan, 0.00069
    353,     nan,     nan,     nan, 0.00065
    356,     nan,     nan,     nan, 0.000647
    359,     nan,     nan,     nan, 0.000655
    362,     nan,     nan,     nan, 0.000629
    365,     nan,     nan,     nan, 0.000594
    368,     nan,     nan,     nan, 0.000577
    371,     nan,     nan,     nan, 0.000569
    374,     nan,     nan,     nan, 0.000565
    377,     nan,     nan,     nan, 0.000559
    380,     nan,     nan,     nan, 0.000541
    383,     nan,     nan,     nan, 0.000516
    386,     nan,     nan,     nan, 0.000495
    389,     nan,     nan,     nan, 0.000493
    392,     nan,     nan,     nan, 0.000491
    395,     nan,     nan,     nan, 0.000483
    398,     nan,     nan,     nan, 0.000466
    401,     nan,     nan,     nan, 0.000453
    404,     nan,     nan,     nan, 0.000446
    407,     nan,     nan,     nan, 0.000428
    410,     nan,     nan,     nan, 0.000424
    413,     nan,     nan,     nan, 0.000414
    416,     nan,     nan,     nan, 0.000396
    419,     nan,     nan,     nan, 0.000388
    422,     nan,     nan,     nan, 0.000389
    425,     nan,     nan,     nan, 0.000379
    428,     nan,     nan,     nan, 0.000363
    431,     nan,     nan,     nan, 0.000363
    434,     nan,     nan,     nan, 0.000353
    437,     nan,     nan,     nan, 0.000342
    440,     nan,     nan,     nan, 0.000342
    443,     nan,     nan,     nan, 0.000335
    446,     nan,     nan,     nan, 0.000319
    449,     nan,     nan,     nan, 0.000317
    452,     nan,     nan,     nan, 0.000318
    455,     nan,     nan,     nan, 0.000311
    458,     nan,     nan,     nan, 0.000305
    461,     nan,     nan,     nan,  0.0003
    464,     nan,     nan,     nan, 0.00029
    467,     nan,     nan,     nan, 0.000285
    470,     nan,     nan,     nan, 0.000286
    473,     nan,     nan,     nan, 0.000278
    476,     nan,     nan,     nan, 0.00027
    479,     nan,     nan,     nan, 0.000265
    482,     nan,     nan,     nan, 0.000261
    485,     nan,     nan,     nan, 0.000252
