T, e4, e10, e16, e64
      2,       1,       1,       1,       1
      5,       1,       1,       1,       1
      8,   0.974,       1,       1,       1
     11,   0.869,       1,       1,       1
     14,   0.696,       1,       1,       1
     17,   0.539,       1,       1,       1
     20,   0.439,       1,       1,       1
     23,   0.378,   0.974,       1,       1
     26,   0.338,   0.938,       1,       1
     29,   0.309,   0.905,       1,       1
     32,   0.287,   0.839,       1,       1
     35,    0.27,    0.74,   0.992,       1
     38,   0.256,   0.654,   0.969,       1
     41,   0.245,   0.595,   0.952,       1
     44,   0.236,   0.539,   0.942,       1
     47,   0.229,   0.491,   0.905,       1
     50,   0.222,   0.456,   0.867,       1
     53,   0.216,   0.427,   0.823,       1
     56,   0.211,   0.402,   0.756,       1
     59,   0.206,   0.381,   0.708,       1
     62,   0.203,   0.363,   0.668,       1
     65,   0.199,   0.347,   0.616,       1
     68,   0.196,   0.333,   0.574,       1
     71,   0.193,   0.321,   0.544,       1
     74,    0.19,   0.311,   0.515,       1
     77,   0.188,   0.301,   0.485,       1
     80,   0.186,   0.292,   0.461,       1
     83,   0.184,   0.285,   0.442,       1
     86,   0.182,   0.277,   0.424,       1
     89,    0.18,   0.271,   0.409,       1
     92,   0.178,   0.265,   0.395,       1
     95,   0.177,    0.26,   0.381,       1
     98,   0.175,   0.255,   0.369,       1
    101,   0.174,   0.251,   0.359,       1
    104,   0.173,   0.246,    0.35,       1
    107,   0.172,   0.242,    0.34,       1
    110,   0.171,   0.239,   0.332,       1
    113,    0.17,   0.235,   0.325,       1
    116,   0.169,   0.232,   0.317,       1
    119,   0.168,   0.229,   0.311,       1
    122,   0.167,   0.226,   0.305,       1
    125,   0.166,   0.224,   0.299,       1
    128,   0.165,   0.221,   0.294,       1
    131,   0.164,   0.219,   0.289,   0.998
    134,   0.164,   0.217,   0.284,   0.998
    137,   0.163,   0.214,    0.28,   0.996
    140,   0.162,   0.212,   0.276,   0.993
    143,   0.162,   0.211,   0.272,   0.994
    146,   0.161,   0.209,   0.268,   0.994
    149,    0.16,   0.207,   0.264,   0.996
    152,    0.16,   0.205,   0.261,   0.996
    155,   0.159,   0.204,   0.258,   0.994
    158,   0.159,   0.202,   0.255,   0.988
    161,   0.158,   0.201,   0.252,   0.979
    164,   0.158,   0.199,   0.249,   0.977
    167,   0.158,   0.198,   0.247,   0.976
    170,   0.157,   0.197,   0.244,    0.97
    173,   0.157,   0.195,   0.242,   0.962
    176,   0.156,   0.194,   0.239,   0.953
    179,   0.156,   0.193,   0.237,   0.951
    182,   0.156,   0.192,   0.235,   0.943
    185,   0.155,   0.191,   0.233,   0.928
    188,   0.155,    0.19,   0.231,   0.914
    191,   0.154,   0.189,   0.229,   0.902
    194,   0.154,   0.188,   0.228,   0.898
    197,   0.154,   0.187,   0.226,   0.887
    200,     nan,     nan,     nan,   0.877
    203,     nan,     nan,     nan,   0.866
    206,     nan,     nan,     nan,   0.859
    209,     nan,     nan,     nan,   0.851
    212,     nan,     nan,     nan,   0.834
    215,     nan,     nan,     nan,   0.821
    218,     nan,     nan,     nan,   0.809
    221,     nan,     nan,     nan,   0.792
    224,     nan,     nan,     nan,   0.779
    227,     nan,     nan,     nan,   0.768
    230,     nan,     nan,     nan,   0.753
    233,     nan,     nan,     nan,   0.739
    236,     nan,     nan,     nan,   0.722
    239,     nan,     nan,     nan,   0.709
    242,     nan,     nan,     nan,   0.701
    245,     nan,     nan,     nan,   0.688
    248,     nan,     nan,     nan,   0.673
    251,     nan,     nan,     nan,    0.66
    254,     nan,     nan,     nan,   0.652
    257,     nan,     nan,     nan,   0.645
